sample_id,point_id,x,y,tx,ty,mask,w_pred,kappa_meas,kappa_pred,w_xx,w_xy,w_yy,w_true
5,65,0.02912913,0.05,0.9999968,-0.0025380603,1.0,-0.00071877765,-5.411744e-08,0.09979641,0.09971709,-0.015728021,0.01852689,-0.001166517
5,66,0.05915916,0.05,1.0,0.0,1.0,-0.0005932709,-1.490948e-07,0.1413458,0.1413458,-0.024180073,0.006550817,-0.0008766594
5,67,0.08918919,0.05,1.0,0.0,1.0,-0.00034421156,-9.354333e-08,0.1325714,0.1325714,-0.022023024,-0.0071557923,-0.0005868541
5,68,0.1192192,0.05,1.0,0.0,1.0,1.7426035e-05,-4.50642e-08,0.035211727,0.035211727,-0.013201782,-0.017306868,-0.000297083
5,69,0.1492492,0.05,1.0,0.0,1.0,0.00040672024,-1.265861e-09,-0.11347382,-0.11347382,-0.0049262387,-0.022091122,-7.3288e-06
5,70,0.1792793,0.05,1.0,0.0,1.0,0.0006969234,4.291154e-08,-0.2198458,-0.2198458,-0.002135646,-0.023467787,0.0002824249
5,71,0.2093093,0.05,1.0,0.0,1.0,0.00079828704,9.116122e-08,-0.20540209,-0.20540209,-0.0042836624,-0.02474859,0.0005721943
5,72,0.2393393,0.05,1.0,0.0,1.0,0.00072361855,1.441384e-07,-0.07339053,-0.07339053,-0.0067548566,-0.027625829,0.0008619971
5,73,0.2693694,0.05,0.7700928,0.6379319,1.0,0.0005849013,1.658585e-07,0.032903768,0.085711636,-0.005385802,-0.031047935,0.001151851
5,74,0.3,0.1002503,0.042004894,0.99911743,1.0,0.00039058612,-1.138496e-05,-0.020153526,0.17220199,-7.938056e-10,-0.020493519,0.00138564
5,75,0.2714715,0.1,-0.9999909,-0.004274312,1.0,0.00045660784,-1.373322e-07,0.1037507,0.10382684,-0.008642947,-0.019850317,0.001122303
5,76,0.2414414,0.1,-1.0,0.0,1.0,0.0006075062,6.861081e-08,-0.06370777,-0.06370777,-0.011071373,-0.018325174,0.0008447985
5,77,0.2114114,0.1,-1.0,0.0,1.0,0.00070285145,5.554325e-08,-0.20718098,-0.20718098,-0.0064188037,-0.017612804,0.0005673173
5,78,0.1813814,0.1,-1.0,0.0,1.0,0.00062124094,3.006478e-08,-0.22453395,-0.22453395,-0.002136183,-0.018303365,0.0002898558
5,79,0.1513514,0.1,-1.0,0.0,1.0,0.00034745978,2.578908e-10,-0.10982375,-0.10982375,-0.0070054643,-0.018822426,1.240496e-05
5,80,0.1213213,0.1,-1.0,0.0,1.0,-2.194653e-05,-2.823616e-08,0.049313404,0.049313404,-0.022574812,-0.016296152,-0.0002650456
5,81,0.09129129,0.1,-1.0,0.0,1.0,-0.0003518439,-5.573424e-08,0.14604133,0.14604133,-0.040002115,-0.008947615,-0.0005425061
5,82,0.06126126,0.1,-1.0,0.0,1.0,-0.00055829907,-6.900638e-08,0.13789234,0.13789234,-0.045608465,0.0018742238,-0.000819986
5,83,0.03123123,0.1,-0.77254903,0.6349551,1.0,-0.0006449168,-4.391663e-08,0.07828483,0.07181467,-0.031244192,0.011833434,-0.00109749
5,84,0.0,0.1503504,-0.06592229,0.9978248,1.0,-0.0005356122,1.079776e-05,0.0058160685,-0.03271599,0.0,0.0059842495,-0.001324248
5,85,0.02792793,0.15,0.9999817,-0.006045651,1.0,-0.0005459957,2.427219e-07,0.014545007,0.014080748,-0.038428005,0.0037724425,-0.00107804
5,86,0.05795796,0.15,1.0,0.0,1.0,-0.0005378639,-3.357434e-08,0.11983385,0.11983385,-0.060453407,-0.0024847088,-0.0008128414
5,87,0.08798799,0.15,1.0,0.0,1.0,-0.00042560813,-3.20134e-08,0.17498241,0.17498241,-0.05487184,-0.009373594,-0.0005476549
5,88,0.118018,0.15,1.0,0.0,1.0,-0.00016557486,-1.892176e-08,0.102713525,0.102713525,-0.031105826,-0.013591839,-0.0002824797
5,89,0.148048,0.15,1.0,0.0,1.0,0.00017934223,-9.29019e-10,-0.067532405,-0.067532405,-0.007728801,-0.0137979165,-1.731135e-05
5,90,0.1780781,0.15,1.0,0.0,1.0,0.0004649926,1.682699e-08,-0.21625255,-0.21625255,0.0016322103,-0.011024599,0.0002478565
5,91,0.2081081,0.15,1.0,0.0,1.0,0.00056631054,3.017063e-08,-0.22835779,-0.22835779,-0.0029363488,-0.00750561,0.0005130302
5,92,0.2381381,0.15,1.0,0.0,1.0,0.0004735599,3.247557e-08,-0.089148074,-0.089148074,-0.010455747,-0.004993365,0.0007782145
5,93,0.2681682,0.15,0.7749619,0.63200796,1.0,0.00030420296,1.424827e-08,0.04754143,0.09822588,-0.010105885,-0.0038812899,0.00104341
5,94,0.3,0.2004505,0.08972662,0.99596643,1.0,2.9543211e-05,-1.1385e-05,0.015915215,0.20885062,-3.1131593e-09,0.014349312,0.001262632
5,95,0.2726727,0.2,-0.9999692,-0.007854019,1.0,0.00010404126,-3.301185e-07,0.13108757,0.13120292,-0.0068806238,0.013182034,0.001033035
5,96,0.2426426,0.2,-1.0,0.0,1.0,0.00028488736,1.549199e-08,-0.068370566,-0.068370566,-0.0060184384,0.009820606,0.0007801248
5,97,0.2126126,0.2,-1.0,0.0,1.0,0.0004069334,1.656681e-08,-0.23161656,-0.23161656,0.0033338503,0.0045493366,0.0005272198
5,98,0.1825826,0.2,-1.0,0.0,1.0,0.00033308583,1.049754e-08,-0.22955245,-0.22955245,0.00979716,-0.001607728,0.0002743206
5,99,0.1525526,0.2,-1.0,0.0,1.0,6.491949e-05,1.205277e-09,-0.065634616,-0.065634616,0.00030417927,-0.0070947343,2.142511e-05
5,100,0.1225225,0.2,-1.0,0.0,1.0,-0.00025994802,-8.992807e-09,0.13040559,0.13040559,-0.026929133,-0.01036545,-0.00023147
5,101,0.09249249,0.2,-1.0,0.0,1.0,-0.00047635578,-1.62698e-08,0.21050054,0.21050054,-0.057544522,-0.010697257,-0.0004843684
5,102,0.06246246,0.2,-1.0,0.0,1.0,-0.00051570375,-1.756805e-08,0.12822449,0.12822449,-0.06957548,-0.00871611,-0.0007372726
5,103,0.03243243,0.2,-0.7773316,0.6290911,1.0,-0.00044518814,-1.489828e-08,0.029351527,-0.027701609,-0.049617887,-0.006158982,-0.000990183
5,104,0.0,0.2505506,-0.11337818,0.9935519,1.0,-0.00026145775,1.218802e-05,-0.016974464,-0.2011997,0.0,-0.014575482,-0.001201341
5,105,0.02672673,0.25,0.999953,-0.009700591,1.0,-0.00032940228,4.250415e-07,-0.120785244,-0.121635914,-0.04332739,-0.014178638,-0.0009878526
5,106,0.05675676,0.25,1.0,0.0,1.0,-0.0004945293,-7.497632e-09,0.08441224,0.08441224,-0.06913251,-0.01301961,-0.0007472187
5,107,0.08678679,0.25,1.0,0.0,1.0,-0.00058720977,-8.528721e-09,0.24354768,0.24354768,-0.060586452,-0.010748182,-0.0005065872
5,108,0.1168168,0.25,1.0,0.0,1.0,-0.00047491543,-5.743845e-09,0.21618485,0.21618485,-0.028233523,-0.0070214616,-0.0002659588
5,109,0.1468468,0.25,1.0,0.0,1.0,-0.00018128216,-5.304794e-10,0.015641375,0.015641375,0.0050450973,-0.0015983387,-2.533229e-05
5,110,0.1768769,0.25,1.0,0.0,1.0,0.00012516076,4.985342e-09,-0.20130545,-0.20130545,0.020939115,0.0054002767,0.0002152941
5,111,0.2069069,0.25,1.0,0.0,1.0,0.00026228058,8.753021e-09,-0.26275474,-0.26275474,0.017116975,0.013279795,0.0004559222
5,112,0.2369369,0.25,1.0,0.0,1.0,0.00017824612,9.299457e-09,-0.12314088,-0.12314088,0.0051534986,0.020770093,0.0006965534
5,113,0.266967,0.25,0.77965987,0.62620324,1.0,-1.0351738e-05,7.045477e-09,0.06878215,0.09905626,-0.0017944761,0.026320545,0.0009371878
5,114,0.3,0.3006507,0.13683859,0.9905934,1.0,-0.00019881055,-1.169534e-05,0.039614435,0.22020338,-6.4337637e-09,0.036168415,0.00113981
5,115,0.2738739,0.3,-0.9999329,-0.011586545,1.0,-0.00012811903,-5.039267e-07,0.13625357,0.13617933,0.0037929583,0.034545287,0.0009419294
